                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9048,                 1.4412,                 2.2092,                0.90531,                 0.9592,                0.98158,                 0.4432,                 1.9102,                 1.3668,                 2.4048,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.9133,                 1.3986,                 2.1835,                0.86567,                0.94272,                0.99056,                0.40031,                 2.0223,                 1.4169,                 2.4899,               0.000948,               0.000948,               0.000948
                     37,                 1.9213,                 1.3691,                  2.174,                0.83426,                0.93302,                0.95391,                  0.413,                 1.9252,                 1.2716,                 2.3309,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.9134,                 1.4337,                 2.2094,                0.87216,                0.91848,                0.96542,                 0.3996,                 2.0279,                 1.3076,                  2.509,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.8904,                 1.4162,                 2.2072,                0.89852,                0.85278,                0.97867,                0.41455,                 1.9382,                 1.3129,                 2.3479,             0.00090556,             0.00090556,             0.00090556
                     40,                  1.856,                 1.3285,                 2.1432,                0.78712,                 0.9764,                0.98574,                0.40046,                 1.8362,                 1.3141,                 2.2981,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.8492,                 1.3062,                 2.1117,                0.80034,                0.96008,                0.95835,                0.42106,                 1.9092,                 1.2425,                 2.3735,             0.00087726,             0.00087726,             0.00087726
                     42,                  1.825,                 1.3374,                  2.133,                0.89939,                0.90279,                0.97117,                0.46065,                 1.7852,                 1.1287,                 2.2115,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.8602,                 1.3287,                 2.1394,                0.89017,                      1,                0.98574,                0.46814,                 1.7938,                 1.1531,                 2.2732,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.8294,                 1.2572,                   2.07,                0.85143,                 0.9311,                0.97658,                0.46562,                 1.8182,                 1.2165,                 2.3282,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.7922,                 1.3051,                 2.1221,                0.88125,                 0.9509,                0.96826,                0.43816,                 1.8516,                 1.1757,                 2.2969,             0.00082067,             0.00082067,             0.00082067
